기준일,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
2023-10-16,7,롯데,144,68,76,0,0.472,19.0,4승0무6패,1승,38-0-35,30-0-41
2023-10-16,8,삼성,144,61,82,1,0.427,25.5,4승0무6패,1패,32-0-39,29-1-43
2023-10-16,9,한화,144,58,80,6,0.42,26.0,3승0무7패,1패,32-1-40,26-5-40
2023-10-16,10,키움,144,58,83,3,0.411,27.5,5승0무5패,2패,33-2-36,25-1-47
2023-10-17,1,LG,144,86,56,2,0.606,0.0,5승0무5패,1승,45-1-25,41-1-31
2023-10-17,2,KT,144,79,62,3,0.56,6.5,6승0무4패,3승,41-2-30,38-1-32
2023-10-17,3,SSG,144,76,65,3,0.539,9.5,8승0무2패,2승,39-2-32,37-1-33
2023-10-17,4,NC,144,75,67,2,0.528,11.0,5승0무5패,2패,41-1-29,34-1-38
2023-10-17,5,두산,144,74,68,2,0.521,12.0,4승0무6패,3패,37-1-35,37-1-33
2023-10-17,6,KIA,144,73,69,2,0.514,13.0,7승0무3패,2승,38-2-31,35-0-38
2023-10-17,7,롯데,144,68,76,0,0.472,19.0,4승0무6패,1승,38-0-35,30-0-41
2023-10-17,8,삼성,144,61,82,1,0.427,25.5,4승0무6패,1패,32-0-39,29-1-43
2023-10-17,9,한화,144,58,80,6,0.42,26.0,3승0무7패,1패,32-1-40,26-5-40
2023-10-17,10,키움,144,58,83,3,0.411,27.5,5승0무5패,2패,33-2-36,25-1-47
