player_id,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
68050,강백호,KT,0.245,62,264,237,24,58,12,0,6,88,29,1,2
68069,고명성,KT,-,1,0,0,0,0,0,0,0,0,0,0,0
51003,권동진,KT,0.132,48,40,38,9,5,1,1,0,8,4,1,0
64004,김민혁,KT,0.284,132,434,373,47,106,10,2,0,120,35,19,3
64014,김병희,KT,0.203,41,85,74,8,15,2,0,1,20,6,0,1
65062,김재윤,KT,-,1,0,0,0,0,0,0,0,0,0,0,0
62558,김준태,KT,0.273,98,270,231,28,63,16,1,4,93,27,3,3
65040,김태훈,KT,0.000,7,10,10,0,0,0,0,0,0,0,0,0
52025,라모스,KT,0.250,18,80,72,10,18,1,1,3,30,11,1,1
67063,문상인,KT,0.000,12,3,3,2,0,0,0,0,0,0,0,0
50007,문상준,KT,0.333,2,3,3,0,1,1,0,0,2,0,0,0
64007,문상철,KT,0.224,28,52,49,5,11,3,0,2,20,4,0,0
73113,박경수,KT,0.120,100,194,166,13,20,3,0,3,32,10,2,1
75125,박병호,KT,0.275,124,487,429,72,118,17,0,35,240,98,0,6
52060,박영현,KT,-,4,0,0,0,0,0,0,0,0,0,0,0
64166,배정대,KT,0.266,144,575,508,64,135,24,2,6,181,56,5,4
65516,배제성,KT,-,1,0,0,0,0,0,0,0,0,0,0,0
64012,송민섭,KT,0.156,119,72,64,17,10,1,2,0,15,3,3,0
62556,신본기,KT,0.182,74,138,121,9,22,3,0,1,28,8,4,1
64006,심우준,KT,0.240,132,449,388,69,93,8,2,4,117,34,11,4
64017,심재민,KT,-,2,0,0,0,0,0,0,0,0,0,0,0
52009,알포드,KT,0.286,80,323,283,48,81,19,1,14,144,50,0,4
68002,양승혁,KT,0.000,11,5,5,0,0,0,0,0,0,0,0,0
64504,오윤석,KT,0.234,112,337,286,23,67,13,0,6,98,37,5,6
51013,유준규,KT,0.214,7,16,14,3,3,0,0,0,3,0,1,0
52063,이상우,KT,-,1,0,0,0,0,0,0,0,0,0,0,0
66702,이시원,KT,0.133,31,16,15,6,2,0,0,0,2,1,0,0
67048,이정현,KT,-,1,0,0,0,0,0,0,0,0,0,0,0
78548,장성우,KT,0.260,117,420,362,48,94,11,0,18,159,55,1,3
64115,장준원,KT,0.246,35,63,57,7,14,2,0,3,25,10,3,0
51009,전진영,KT,0.333,4,3,3,0,1,0,0,0,1,1,0,0
68089,조대현,KT,0.000,6,4,4,0,0,0,0,0,0,0,0,0
64868,조용호,KT,0.308,131,531,474,52,146,18,4,3,181,44,2,3
65060,주권,KT,-,1,0,0,0,0,0,0,0,0,0,0,0
51060,지명성,KT,-,1,0,0,0,0,0,0,0,0,0,0,0
67005,홍현빈,KT,0.237,61,92,76,8,18,2,0,0,20,1,6,0
76313,황재균,KT,0.262,141,581,519,59,136,25,3,10,197,64,2,2
