선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
구본혁,LG,133,12,8,4,66.7,4,0
김대원,LG,19,3,2,1,66.7,1,0
김대현,LG,3,0,0,0,-,0,0
김민수,LG,19,0,0,0,-,0,0
김범석,LG,70,0,0,0,-,1,0
김성우,LG,4,0,0,0,-,0,0
김성진,LG,14,0,0,0,-,1,0
김수인,LG,4,0,0,0,-,0,0
김영준,LG,1,0,0,0,-,0,0
김유영,LG,2,0,0,0,-,0,0
김주성,LG,12,0,0,0,-,0,0
김진성,LG,4,0,0,0,-,0,0
김현수,LG,137,7,6,1,85.7,7,1
김현종,LG,17,0,0,0,-,0,0
문보경,LG,144,13,7,6,53.8,2,2
문성주,LG,96,20,13,7,65.0,5,0
박동원,LG,130,1,1,0,100,6,0
박명근,LG,1,0,0,0,-,0,0
박해민,LG,144,56,43,13,76.8,4,4
백승현,LG,3,0,0,0,-,0,0
송찬의,LG,10,1,1,0,100,0,0
신민재,LG,128,43,32,11,74.4,7,0
안익훈,LG,37,2,2,0,100,0,0
오스틴,LG,140,20,12,8,60.0,6,1
오지환,LG,108,21,17,4,81.0,4,0
유영찬,LG,8,0,0,0,-,0,0
이영빈,LG,31,1,0,1,0.0,1,0
이종준,LG,2,0,0,0,-,0,0
이주헌,LG,3,0,0,0,-,0,0
이지강,LG,4,0,0,0,-,0,0
임준형,LG,1,0,0,0,-,0,0
전준호,LG,3,0,0,0,-,0,0
정우영,LG,1,0,0,0,-,0,0
진우영,LG,1,0,0,0,-,0,0
최동환,LG,1,0,0,0,-,0,0
최명경,LG,1,0,0,0,-,0,0
최승민,LG,57,18,11,7,61.1,1,2
최원영,LG,57,10,6,4,60.0,1,1
함덕주,LG,1,0,0,0,-,0,0
함창건,LG,15,0,0,0,-,0,0
허도환,LG,59,1,0,1,0.0,2,0
홍창기,LG,139,21,10,11,47.6,8,1
