player_id,Name,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F
51833,가빌리오,7.75,3.32,2.33,0.77,19.90%,8.50%,11.40%,0.279,1.45,0.34,61.30%,5.86,4.01,1.86
50705,강재민,7.82,3.69,2.12,0.28,20.40%,9.70%,10.80%,0.214,1.22,0.271,83.30%,2.13,3.43,-1.29
64001,고영표,7.02,1.46,4.81,0.49,19.60%,4.10%,15.50%,0.236,1.04,0.285,73.50%,2.92,3.16,-0.25
67119,고우석,10.55,3.57,2.96,0.47,28.30%,9.60%,18.80%,0.22,1.21,0.308,84.30%,2.17,2.96,-0.78
68220,곽빈,8.76,7.21,1.22,0.64,21.10%,17.40%,3.70%,0.214,1.59,0.272,74.70%,4.1,5.03,-0.92
63543,구승민,9.39,4.48,2.1,0.72,24.80%,11.80%,13.00%,0.207,1.25,0.268,69.30%,4.33,3.93,0.41
77263,김강률,7.14,4.35,1.64,0.35,17.80%,10.90%,7.00%,0.265,1.53,0.323,84.20%,2.09,3.71,-1.62
51715,김기중,6.04,6.04,1,0.67,13.80%,13.80%,0.00%,0.286,1.84,0.328,72.90%,4.7,5.15,-0.45
61365,김대우,4.76,2.65,1.8,1.24,11.50%,6.40%,5.10%,0.313,1.63,0.333,61.20%,6.35,5.01,1.34
60337,김대유,9.95,2.66,3.73,0.36,26.80%,7.20%,19.60%,0.173,0.93,0.236,80.80%,2.13,3.01,-0.88
50360,김동혁,3.29,3.73,0.88,0.55,8.20%,9.30%,-1.10%,0.279,1.5,0.296,66.20%,5.05,5.1,-0.05
67246,김명신,5.78,1.88,3.07,0.81,14.90%,4.80%,10.00%,0.268,1.28,0.3,65.80%,4.3,4.06,0.24
68200,김민규,6.23,4.47,1.39,1.44,14.90%,10.70%,4.20%,0.278,1.63,0.302,67.10%,6.07,5.68,0.39
65048,김민수,8.53,3.72,2.29,0.31,21.70%,9.50%,12.30%,0.248,1.38,0.32,73.60%,2.79,3.23,-0.44
65764,김민우,7.24,4.4,1.64,0.87,18.90%,11.50%,7.40%,0.226,1.33,0.264,74.10%,4,4.53,-0.54
65769,김범수,8.92,5.35,1.67,0.25,21.90%,13.20%,8.80%,0.247,1.56,0.325,62.30%,5.22,3.54,1.68
76430,김상수,6.79,4.63,1.47,1.54,16.10%,11.00%,5.10%,0.293,1.73,0.324,78.40%,5.09,5.6,-0.51
68900,김영규,5.94,3.96,1.5,1.41,14.70%,9.80%,4.90%,0.268,1.52,0.288,67.90%,5.37,5.37,0
62528,김원중,9.19,4.02,2.29,0.86,23.90%,10.40%,13.40%,0.211,1.24,0.263,75.80%,3.59,3.97,-0.38
68659,김유신,4.8,5.8,0.83,1.82,11.60%,14.10%,-2.40%,0.297,1.8,0.302,62.60%,7.62,6.89,0.73
50157,김윤식,7.56,4.86,1.56,0.41,18.60%,12.00%,6.60%,0.251,1.52,0.31,68.10%,4.32,4.08,0.24
67391,김재웅,7.93,5.57,1.42,0.84,19.30%,13.60%,5.80%,0.234,1.54,0.28,77.60%,3.54,4.65,-1.11
65062,김재윤,8.39,3.15,2.67,0.66,22.90%,8.60%,14.30%,0.223,1.18,0.278,82.40%,2.49,3.42,-0.92
62360,김태훈,7.27,4.62,1.58,0.14,18.40%,11.70%,6.70%,0.242,1.45,0.303,73.40%,3.22,3.45,-0.24
79847,김태훈,7.6,5.9,1.29,1.09,18.20%,14.10%,4.10%,0.249,1.6,0.291,73.00%,4.97,5.65,-0.68
65343,김택형,7.41,5.02,1.48,0.36,19.60%,13.30%,6.30%,0.225,1.37,0.282,81.50%,2.39,3.95,-1.56
73211,노경은,5.59,3.83,1.46,1.76,13.00%,8.90%,4.10%,0.328,1.83,0.349,62.20%,7.35,6.07,1.28
50040,데스파이네,7.87,3.72,2.12,0.48,20.10%,9.50%,10.60%,0.238,1.34,0.295,72.80%,3.39,3.58,-0.19
51234,로켓,8.13,3.05,2.67,0.36,20.70%,7.80%,13.00%,0.272,1.4,0.344,79.30%,2.98,3.31,-0.33
69940,루친스키,8.92,2.77,3.22,0.6,23.50%,7.30%,16.20%,0.232,1.2,0.296,71.60%,3.17,3.27,-0.09
51619,멩덴,7.8,2.63,2.97,0.9,20.70%,7.00%,13.70%,0.237,1.2,0.283,73.20%,3.6,3.93,-0.33
51439,몽고메리,9.34,6.45,1.45,0.51,22.30%,15.40%,6.90%,0.224,1.58,0.293,65.60%,5.26,4.32,0.94
62869,문승원,5.72,3.22,1.78,0.18,15.10%,8.50%,6.60%,0.219,1.19,0.258,69.30%,2.86,3.46,-0.6
51257,미란다,11.66,3.26,3.57,0.57,31.70%,8.90%,22.80%,0.209,1.14,0.303,81.70%,2.33,2.62,-0.29
64021,박세웅,6.9,2.93,2.36,1.1,18.20%,7.70%,10.50%,0.227,1.19,0.254,73.30%,3.98,4.5,-0.53
