선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
고종욱,KIA,좌익수,28,21,160 1/3,0,0,43,2,0,1.0,0,0,0,-
곽도규,KIA,투수,9,0,4,0,0,0,0,0,-,0,0,0,-
김건국,KIA,투수,26,6,46,0,0,3,6,0,1.0,0,0,0,-
김규성,KIA,유격수,25,11,119 1/3,4,0,21,39,5,0.938,0,0,0,-
김규성,KIA,2루수,79,25,301 2/3,4,0,65,97,21,0.976,0,0,0,-
김규성,KIA,1루수,7,2,23,0,0,23,3,0,1.000,0,0,0,-
김규성,KIA,3루수,31,6,109 2/3,2,0,10,17,2,0.931,0,0,0,-
김기훈,KIA,투수,24,0,27 2/3,0,1,0,2,0,1.000,0,0,0,-
김대유,KIA,투수,15,0,8 1/3,0,0,0,1,0,1.000,0,0,0,-
김도영,KIA,3루수,25,25,201,5,0,11,43,4,0.915,0,0,0,-
김도영,KIA,유격수,1,0,2,0,0,0,0,0,-,0,0,0,-
김도현,KIA,투수,24,24,125 1/3,1,2,6,23,0,0.967,0,0,0,-
김민재,KIA,투수,1,0,2,0,0,0,0,0,-,0,0,0,-
김민주,KIA,투수,3,0,3,0,0,0,1,0,1.000,0,0,0,-
김석환,KIA,좌익수,29,26,193 2/3,0,0,44,0,0,1.0,0,0,0,-
김석환,KIA,우익수,10,7,48,0,0,11,0,0,1.000,0,0,0,-
김선빈,KIA,2루수,72,68,503 2/3,9,0,96,126,33,0.961,0,0,0,-
김시훈,KIA,투수,24,0,25 2/3,0,0,1,3,0,1.000,0,0,0,-
김정엽,KIA,투수,2,0,1,0,0,1,0,0,1.000,0,0,0,-
김태군,KIA,포수,95,79,656 1/3,7,2,554,70,7,0.989,3,62,21,25.3
김태형,KIA,투수,8,3,23 2/3,1,0,1,3,0,0.800,0,0,0,-
김현수,KIA,투수,18,0,18 1/3,0,0,2,1,0,1.000,0,0,0,-
김호령,KIA,중견수,104,94,852 2/3,6,0,218,7,1,0.974,0,0,0,-
나성범,KIA,우익수,71,69,541 2/3,0,0,99,9,2,1.0,0,0,0,-
네일,KIA,투수,27,27,164 1/3,0,0,7,24,2,1.0,0,0,0,-
박민,KIA,2루수,22,14,112,2,0,22,47,10,0.972,0,0,0,-
박민,KIA,유격수,8,0,15,0,0,1,9,1,1.000,0,0,0,-
박민,KIA,3루수,45,13,173 1/3,1,0,14,39,4,0.981,0,0,0,-
박재현,KIA,중견수,20,7,81,1,0,14,1,0,0.938,0,0,0,-
박재현,KIA,우익수,8,4,39,2,0,14,0,0,0.875,0,0,0,-
박재현,KIA,좌익수,16,1,38,0,0,8,0,0,1.000,0,0,0,-
박정우,KIA,우익수,18,1,46 1/3,0,0,6,0,0,1.000,0,0,0,-
박정우,KIA,중견수,18,13,92,0,0,20,0,0,1.000,0,0,0,-
박정우,KIA,좌익수,22,2,49 2/3,0,0,11,0,0,1.000,0,0,0,-
박찬호,KIA,유격수,134,131,1114 1/3,16,0,229,356,84,0.973,0,0,0,-
박헌,KIA,우익수,7,3,32,0,0,7,0,0,1.000,0,0,0,-
변우혁,KIA,3루수,34,27,240 2/3,4,0,19,57,2,0.95,0,0,0,-
변우혁,KIA,1루수,18,6,68 1/3,0,0,54,9,5,1.000,0,0,0,-
서건창,KIA,1루수,2,2,13,0,0,13,0,1,1.000,0,0,0,-
서건창,KIA,2루수,7,4,34,0,0,11,12,4,1.000,0,0,0,-
서건창,KIA,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
성영탁,KIA,투수,45,0,52 1/3,0,0,1,8,1,1.0,0,0,0,-
양현종,KIA,투수,30,30,153,3,2,7,12,0,0.864,0,0,0,-
오선우,KIA,우익수,19,13,102,1,0,20,3,1,0.958,0,0,0,-
오선우,KIA,1루수,77,59,505 1/3,10,0,482,33,43,0.981,0,0,0,-
오선우,KIA,좌익수,56,37,333,0,0,90,2,1,1.0,0,0,0,-
올러,KIA,투수,26,26,149,1,0,1,7,0,0.889,0,0,0,-
위즈덤,KIA,3루수,58,54,406,9,0,33,79,5,0.926,0,0,0,-
위즈덤,KIA,1루수,88,60,552,4,0,536,28,48,0.993,0,0,0,-
위즈덤,KIA,우익수,1,0,1,0,0,0,0,0,-,0,0,0,-
위즈덤,KIA,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
유승철,KIA,투수,1,0,2,0,0,0,0,0,-,0,0,0,-
유지성,KIA,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
윤도현,KIA,2루수,25,21,175,6,0,31,48,10,0.929,0,0,0,-
윤도현,KIA,3루수,17,16,115,2,0,6,19,1,0.926,0,0,0,-
윤도현,KIA,유격수,1,1,9,1,0,1,2,1,0.750,0,0,0,-
윤영철,KIA,투수,13,13,50,0,0,3,5,0,1.000,0,0,0,-
윤중현,KIA,투수,13,0,10 1/3,1,0,0,3,0,0.750,0,0,0,-
이도현,KIA,투수,6,2,13,0,0,1,2,0,1.000,0,0,0,-
이성원,KIA,투수,4,0,2 2/3,0,0,0,0,0,-,0,0,0,-
이의리,KIA,투수,10,10,39 2/3,0,0,1,6,0,1.000,0,0,0,-
이준영,KIA,투수,57,0,34,1,0,0,2,0,0.667,0,0,0,-
이창진,KIA,좌익수,33,19,186,0,0,44,0,0,1.0,0,0,0,-
이창진,KIA,우익수,6,4,27,1,0,10,0,0,0.909,0,0,0,-
이형범,KIA,투수,12,0,10,0,0,3,2,0,1.000,0,0,0,-
이호민,KIA,투수,13,0,14 2/3,1,0,0,1,0,0.500,0,0,0,-
임기영,KIA,투수,10,0,9,0,0,0,0,0,-,0,0,0,-
장재혁,KIA,투수,3,0,3,0,0,0,0,0,-,0,0,0,-
전상현,KIA,투수,74,0,70,2,0,2,8,0,0.833,0,0,0,-
정해영,KIA,투수,60,0,61 2/3,1,0,3,6,0,0.9,0,0,0,-
정해원,KIA,우익수,12,7,53 1/3,0,0,16,0,0,1.000,0,0,0,-
정해원,KIA,좌익수,8,4,44,1,0,10,0,0,0.909,0,0,0,-
정현창,KIA,3루수,1,1,8,0,0,0,0,0,-,0,0,0,-
정현창,KIA,2루수,4,2,15 2/3,0,0,2,5,1,1.000,0,0,0,-
정현창,KIA,유격수,4,1,14,0,0,3,7,2,1.000,0,0,0,-
조상우,KIA,투수,72,0,60,2,2,3,6,0,0.818,0,0,0,-
주효상,KIA,포수,7,3,39,1,0,34,3,0,0.974,0,1,1,50.0
최정용,KIA,2루수,3,2,17,0,0,4,6,1,1.000,0,0,0,-
최지민,KIA,투수,66,0,53 1/3,0,0,0,6,0,1.0,0,0,0,-
최형우,KIA,좌익수,5,4,29,0,0,4,0,0,1.000,0,0,0,-
한승택,KIA,포수,12,5,54,0,0,39,8,0,1.000,0,4,1,20.0
한재승,KIA,투수,36,0,33 1/3,0,1,0,3,0,1.0,0,0,0,-
한준수,KIA,포수,93,57,525 1/3,3,0,452,36,5,0.994,5,44,12,21.4
홍원빈,KIA,투수,2,0,1 2/3,0,0,0,0,0,-,0,0,0,-
황대인,KIA,1루수,16,15,113,2,0,107,4,10,0.982,0,0,0,-
황동하,KIA,투수,18,3,35 2/3,0,0,1,2,0,1.000,0,0,0,-
