선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
고승완,NC,0.200,17,11,10,5,2,0,0,0,2,0,0,0
권희동,NC,0.246,136,456,358,56,88,24,0,6,130,39,8,2
김범준,NC,0.000,1,1,1,0,0,0,0,0,0,0,0,0
김영규,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
김정호,NC,0.444,8,11,9,3,4,0,0,0,4,0,1,0
김주원,NC,0.289,144,624,539,98,156,26,8,15,243,65,4,2
김태훈,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
김한별,NC,0.313,76,72,64,14,20,2,0,0,22,5,2,0
김형준,NC,0.232,127,415,362,51,84,10,1,18,150,55,3,2
김휘집,NC,0.249,142,500,429,64,107,18,2,17,180,56,2,2
데이비슨,NC,0.293,112,439,386,63,113,18,0,36,239,97,0,14
도태훈,NC,0.182,61,98,77,9,14,4,1,1,23,8,6,0
류진욱,NC,-,3,0,0,0,0,0,0,0,0,0,0,0
박건우,NC,0.289,124,442,384,43,111,24,1,9,164,67,1,5
박민우,NC,0.302,117,468,404,64,122,25,8,3,172,67,4,4
박세혁,NC,0.163,48,93,86,8,14,3,0,2,23,10,0,1
박시원,NC,0.204,52,60,54,12,11,2,0,1,16,4,1,0
박영빈,NC,0.250,16,5,4,8,1,0,0,0,1,1,0,0
박한결,NC,0.118,8,19,17,2,2,0,0,2,8,3,0,0
배재환,NC,-,2,0,0,0,0,0,0,0,0,0,0,0
서호철,NC,0.266,103,292,263,25,70,7,1,3,88,30,10,4
소이현,NC,-,2,0,0,0,0,0,0,0,0,0,0,0
손주환,NC,-,2,0,0,0,0,0,0,0,0,0,0,0
송승환,NC,0.200,13,15,15,0,3,1,0,0,4,2,0,0
안인산,NC,0.000,4,7,6,0,0,0,0,0,0,1,0,1
안중열,NC,0.143,33,60,49,2,7,3,0,0,10,6,1,0
오영수,NC,0.232,67,179,155,14,36,5,0,3,50,23,0,0
오태양,NC,0.250,14,13,12,6,3,0,0,0,3,1,0,0
이우성,NC,0.250,105,337,300,28,75,22,1,3,108,33,1,3
전사민,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
천재환,NC,0.238,129,294,261,47,62,10,3,6,96,31,6,5
최원준,NC,0.242,126,449,413,62,100,13,3,6,137,44,2,5
최정원,NC,0.275,91,155,120,40,33,3,0,0,36,11,4,1
한석현,NC,0.195,61,138,113,18,22,5,0,3,36,21,4,2
한재환,NC,0.185,16,31,27,2,5,0,0,0,5,4,0,0
홍종표,NC,0.164,62,85,73,16,12,0,0,0,12,3,4,1
