선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
김건희,키움,0.182,9,13,11,0,2,0,0,0,2,0,0,0
김동규,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
김동헌,키움,0.242,102,242,211,22,51,5,2,2,66,17,3,3
김동혁,키움,-,2,0,0,0,0,0,0,0,0,0,0,0
김병휘,키움,0.143,10,21,21,0,3,1,0,0,4,1,0,0
김선기,키움,-,2,0,0,0,0,0,0,0,0,0,0,0
김성진,키움,-,2,0,0,0,0,0,0,0,0,0,0,0
김수환,키움,0.216,50,114,97,8,21,4,0,2,31,15,1,1
김시앙,키움,0.224,33,82,76,6,17,1,0,0,18,7,0,0
김웅빈,키움,0.188,29,74,64,2,12,3,0,0,15,9,0,2
김재웅,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
김재현,키움,0.111,8,10,9,0,1,0,0,0,1,0,1,0
김주형,키움,0.147,46,81,68,5,10,2,0,0,12,4,3,0
김준완,키움,0.222,76,225,189,25,42,7,0,0,49,14,6,3
김준형,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
김태진,키움,0.275,74,212,200,17,55,5,0,0,60,16,3,3
김혜성,키움,0.335,137,621,556,104,186,29,6,7,248,57,0,5
김휘집,키움,0.249,110,435,369,46,92,22,0,8,138,51,6,7
도슨,키움,0.336,57,261,229,37,77,14,2,3,104,29,0,5
러셀,키움,0.286,59,239,220,20,63,11,1,4,88,42,0,1
문성현,키움,-,2,0,0,0,0,0,0,0,0,0,0,0
박수종,키움,0.422,23,50,45,7,19,1,2,0,24,3,0,1
박주홍,키움,0.122,27,57,49,5,6,0,1,0,8,2,1,2
박준태,키움,0.143,14,15,14,0,2,0,0,0,2,1,0,0
박찬혁,키움,0.201,48,167,154,13,31,7,0,1,41,8,0,0
송성문,키움,0.263,104,438,388,43,102,16,3,5,139,60,4,7
송재선,키움,0.333,5,3,3,0,1,0,0,0,1,0,0,0
신준우,키움,0.111,24,19,18,4,2,0,0,0,2,0,0,0
양현,키움,-,2,0,0,0,0,0,0,0,0,0,0,0
예진원,키움,0.235,16,36,34,2,8,1,0,1,12,4,2,0
원종현,키움,-,2,0,0,0,0,0,0,0,0,0,0,0
윤정현,키움,-,3,0,0,0,0,0,0,0,0,0,0,0
이명종,키움,-,3,0,0,0,0,0,0,0,0,0,0,0
이병규,키움,0.235,7,17,17,3,4,0,0,0,4,2,0,0
이승원,키움,0.000,4,5,5,0,0,0,0,0,0,0,0,0
이용규,키움,0.234,50,178,154,19,36,0,3,0,42,11,2,2
이원석,키움,0.246,89,345,305,22,75,10,0,2,91,30,1,2
이정후,키움,0.318,86,387,330,50,105,23,2,6,150,45,0,5
이주형,키움,0.326,69,243,215,32,70,13,4,6,109,36,2,2
이지영,키움,0.249,81,237,217,23,54,8,1,0,64,8,7,0
이형종,키움,0.215,99,374,316,35,68,22,1,3,101,37,3,2
임병욱,키움,0.26,80,223,208,30,54,11,1,6,85,36,1,3
임지열,키움,0.259,72,246,212,22,55,8,0,5,78,35,2,1
임창민,키움,-,2,0,0,0,0,0,0,0,0,0,0,0
전병우,키움,0.145,41,75,62,6,9,3,0,1,15,6,2,0
주성원,키움,0.217,25,72,69,7,15,2,1,0,19,2,1,1
하영민,키움,-,3,0,0,0,0,0,0,0,0,0,0,0
후라도,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
