팀명,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
한화,144,83,57,41,57,0.593,1290 1/3,1185,102,450,93,1339,554,509,1.27
SSG,144,75,65,36,102,0.536,1283 1/3,1164,115,510,78,1193,576,517,1.3
LG,144,85,56,42,77,0.603,1279 1/3,1236,91,491,62,1080,584,539,1.35
KT,144,71,68,37,60,0.511,1278 1/3,1362,112,433,58,1067,657,581,1.4
삼성,144,74,68,25,76,0.521,1268 2/3,1257,132,455,70,1048,647,581,1.35
두산,144,61,77,29,69,0.442,1280,1227,109,542,99,1054,686,612,1.38
KIA,144,65,75,30,82,0.464,1274 2/3,1316,110,511,84,1058,734,660,1.43
롯데,144,66,72,36,69,0.478,1280,1351,128,560,73,1173,749,676,1.49
NC,144,71,67,39,103,0.514,1270,1279,146,621,97,1075,766,680,1.5
키움,144,47,93,31,55,0.336,1269,1447,146,550,92,937,860,760,1.57
