player_id,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
61700,강경학,KIA,0.152,25,39,33,3,5,0,0,0,5,1,0,0
51640,권다결,KIA,0.222,5,18,18,1,4,0,0,0,4,0,0,0
66614,김규성,KIA,0.139,54,41,36,8,5,1,0,0,6,2,0,0
62864,김민식,KIA,0.220,100,301,250,30,55,8,0,3,72,26,3,3
67610,김석환,KIA,0.263,5,20,19,1,5,0,0,1,8,3,0,0
78603,김선빈,KIA,0.307,130,564,501,55,154,32,0,5,201,67,1,5
64984,김태진,KIA,0.276,99,414,381,43,105,12,5,1,130,36,6,4
65653,김호령,KIA,0.208,62,154,130,16,27,2,0,4,41,15,2,0
73209,나주환,KIA,0.161,19,32,31,0,5,0,0,0,5,3,0,1
78629,나지완,KIA,0.160,31,102,81,3,13,1,0,0,14,7,0,1
62234,류지혁,KIA,0.278,92,327,273,37,76,8,0,2,90,34,2,3
50657,박민,KIA,0.171,18,38,35,3,6,1,0,0,7,3,0,0
67609,박정우,KIA,0.188,32,61,48,3,9,1,0,0,10,4,1,0
64646,박찬호,KIA,0.246,131,483,418,51,103,15,5,1,131,59,8,3
69636,오선우,KIA,0.067,9,16,15,1,1,0,0,0,1,0,0,0
68614,오정환,KIA,0.235,9,18,17,1,4,1,0,0,5,2,0,0
62265,유민상,KIA,0.233,24,74,60,7,14,2,0,1,19,6,0,0
63260,이우성,KIA,0.200,65,100,85,12,17,5,0,0,22,4,1,1
67644,이정훈,KIA,0.248,41,151,129,14,32,6,0,2,44,14,0,0
66657,이진영,KIA,0.200,17,47,40,8,8,2,1,2,18,5,0,0
64560,이창진,KIA,0.209,105,293,249,35,52,8,1,3,71,33,4,3
63950,장현식,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0
50662,정해영,KIA,-,3,0,0,0,0,0,0,0,0,0,0,0
66606,최원준,KIA,0.295,143,668,589,82,174,21,6,4,219,44,4,3
62893,최정민,KIA,0.333,39,19,15,5,5,0,0,0,5,1,0,0
65464,최정용,KIA,0.192,53,65,52,7,10,1,0,0,11,2,3,1
72443,최형우,KIA,0.233,104,446,373,52,87,15,1,12,140,55,0,2
69652,터커,KIA,0.237,127,539,468,42,111,24,1,9,164,59,0,2
63722,한승택,KIA,0.217,82,239,203,17,44,7,0,3,60,16,5,0
65610,황대인,KIA,0.238,86,308,282,30,67,10,1,13,118,45,1,5
62908,황윤호,KIA,0.176,6,19,17,2,3,0,0,0,3,0,0,0
