player_id,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
54344,고영우,키움,0.256,94,290,254,21,65,12,2,0,81,35,4,3
53312,김건희,키움,0.257,83,283,261,27,67,15,0,9,109,38,0,4
50393,김동욱,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
53344,김동헌,키움,0.200,2,7,5,0,1,0,0,0,1,1,0,0
50304,김병휘,키움,0.169,28,71,59,6,10,3,0,1,16,3,1,0
66018,김선기,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
68346,김수환,키움,0.000,2,3,3,0,0,0,0,0,0,0,0,0
51303,김시앙,키움,0.143,6,7,7,1,1,0,0,0,1,0,0,0
54368,김연주,키움,-,4,0,0,0,0,0,0,0,0,0,0,0
65898,김웅빈,키움,0.125,12,38,32,2,4,0,0,0,4,2,1,0
54319,김윤하,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
67391,김재웅,키움,-,2,0,0,0,0,0,0,0,0,0,0,0
62332,김재현,키움,0.243,110,326,288,27,70,11,0,0,81,26,10,4
69306,김주형,키움,0.150,22,25,20,0,3,0,0,0,3,2,1,0
64984,김태진,키움,0.222,81,202,189,26,42,6,3,0,54,10,5,1
67304,김혜성,키움,0.326,127,567,509,90,166,26,4,11,233,75,0,7
53327,도슨,키움,0.330,95,429,382,69,126,31,2,11,194,57,0,2
60336,문성현,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
54304,박범준,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
53305,박성빈,키움,0.222,12,11,9,1,2,1,0,0,3,2,0,0
52305,박수종,키움,0.256,80,148,129,23,33,5,1,0,40,6,4,0
50357,박주홍,키움,0.102,25,59,49,5,5,2,0,0,7,1,0,0
69363,박준형,키움,0.000,4,5,5,0,0,0,0,0,0,0,0,0
68305,변상권,키움,0.251,77,232,219,16,55,3,1,5,75,21,0,1
65357,송성문,키움,0.340,142,602,527,88,179,29,4,19,273,104,0,8
65357,송성문,키움,0.34,142,602,527,88,179,29,4,19,273,104,0,8
54394,송지후,키움,0.000,2,1,1,1,0,0,0,0,0,0,0,0
50312,신준우,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
54306,심휘윤,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
67365,양지율,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
67116,오석주,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
54307,원성준,키움,0.250,51,125,112,12,28,5,0,2,39,11,1,2
76118,원종현,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
69399,윤정현,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
53302,이승원,키움,0.108,20,41,37,3,4,1,0,0,5,1,2,0
74163,이용규,키움,0.306,60,227,183,27,56,5,2,1,68,12,3,1
75566,이원석,키움,0.220,39,109,91,5,20,4,0,0,24,8,0,2
54305,이재상,키움,0.190,36,89,84,7,16,1,0,1,20,5,1,0
50167,이주형,키움,0.266,115,537,473,82,126,19,3,13,190,60,0,1
78135,이형종,키움,0.216,35,126,102,19,22,3,0,4,37,19,1,0
64346,임병욱,키움,0.241,42,92,87,14,21,3,0,3,33,10,0,1
64340,임지열,키움,0.102,22,57,49,4,5,0,0,1,8,5,0,1
51359,장재영,키움,0.168,38,139,119,14,20,3,0,4,35,13,0,0
69332,주성원,키움,0.200,27,62,55,7,11,1,0,1,15,5,1,0
52330,주승우,키움,-,5,0,0,0,0,0,0,0,0,0,0,0
76267,최주환,키움,0.257,130,544,482,49,124,23,1,13,188,84,0,9
