player_id,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
72523,고효준,SSG,2,0,0,0,-,0,0
71837,김강민,SSG,84,4,1,3,25.0,4,0
69810,김규남,SSG,2,0,0,0,-,0,0
62864,김민식,SSG,104,0,0,0,-,1,0
76802,김성현,SSG,130,6,3,3,50.0,5,0
64499,김재현,SSG,18,0,0,0,-,0,0
65343,김택형,SSG,1,0,0,0,-,0,0
52806,라가레스,SSG,49,4,3,1,75.0,3,0
64893,박민호,SSG,1,0,0,0,-,0,0
67893,박성한,SSG,140,20,12,8,60.0,2,0
64896,서동민,SSG,1,0,0,0,-,0,0
52804,석정우,SSG,9,1,0,1,0.0,0,0
66864,안상현,SSG,46,2,2,0,100,0,0
61743,오준혁,SSG,47,0,0,0,-,0,0
60558,오태곤,SSG,130,15,11,4,73.3,1,0
76812,이재원,SSG,105,1,1,0,100,1,0
67807,이정범,SSG,7,0,0,0,-,0,0
65869,이현석,SSG,9,0,0,0,-,0,0
63440,이흥련,SSG,22,0,0,0,-,0,0
68869,전경원,SSG,1,0,0,0,-,0,0
50820,전의산,SSG,77,0,0,0,-,2,0
51809,조요한,SSG,1,0,0,0,-,0,0
51865,조형우,SSG,9,0,0,0,-,0,0
69802,최경모,SSG,98,2,2,0,100,3,0
68856,최민준,SSG,1,0,0,0,-,0,0
68805,최상민,SSG,27,4,3,1,75.0,0,0
75847,최정,SSG,121,17,12,5,70.6,4,0
76267,최주환,SSG,97,0,0,0,-,1,0
68868,최준우,SSG,10,0,0,0,-,0,0
50854,최지훈,SSG,144,38,31,7,81.6,5,3
62884,최항,SSG,15,0,0,0,-,1,0
51817,추신수,SSG,112,20,15,5,75.0,5,1
52827,크론,SSG,67,0,0,0,-,2,0
69813,하재훈,SSG,60,1,1,0,100,1,0
62895,한유섬,SSG,135,2,1,1,50.0,1,0
