player_id,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
52125,가르시아,LG,0.206,39,156,136,21,28,6,1,4,48,19,0,0
67119,고우석,LG,0.000,4,1,1,0,0,0,0,0,0,0,0,0
66112,김기연,LG,0.222,12,9,9,0,2,0,0,0,2,1,0,0
77564,김민성,LG,0.207,92,157,140,16,29,4,0,3,42,20,3,1
75867,김진성,LG,-,2,0,0,0,0,0,0,0,0,0,0,0
76290,김현수,LG,0.286,141,604,524,78,150,25,2,23,248,106,0,3
66113,김호은,LG,0.000,2,2,2,0,0,0,0,0,0,0,0,0
52112,루이즈,LG,0.155,27,94,84,10,13,4,1,1,22,6,0,1
69102,문보경,LG,0.315,126,466,406,52,128,22,3,9,183,56,5,7
68119,문성주,LG,0.303,106,390,327,55,99,15,3,6,138,41,8,1
72133,박용택,LG,-,1,0,0,0,0,0,0,0,0,0,0,0
64100,박재욱,LG,-,1,0,0,0,0,0,0,0,0,0,0,0
62415,박해민,LG,0.289,144,636,570,97,165,20,8,3,210,49,7,6
63145,배재준,LG,-,1,0,0,0,0,0,0,0,0,0,0,0
65109,백승현,LG,-,1,0,0,0,0,0,0,0,0,0,0,0
78168,서건창,LG,0.224,77,247,219,39,49,10,1,2,67,18,3,1
50150,손호영,LG,0.257,36,82,74,13,19,0,2,3,32,14,1,1
51111,송승기,LG,-,1,0,0,0,0,0,0,0,0,0,0,0
73801,송은범,LG,-,2,0,0,0,0,0,0,0,0,0,0,0
68110,송찬의,LG,0.236,33,78,72,8,17,4,0,3,30,10,0,1
65207,신민재,LG,0.000,14,3,3,2,0,0,0,0,0,0,0,0
65115,안익훈,LG,0.000,14,4,3,0,0,0,0,0,0,0,0,0
79109,오지환,LG,0.269,142,569,494,75,133,16,4,25,232,87,3,3
61102,유강남,LG,0.255,139,469,416,54,106,16,0,8,146,47,6,2
60566,이상호,LG,0.250,60,80,72,9,18,2,0,0,20,5,3,0
51100,이영빈,LG,0.184,60,83,76,16,14,3,0,1,20,5,0,0
68106,이재원,LG,0.224,85,253,223,31,50,8,2,13,101,43,0,0
61186,이천웅,LG,0.200,19,23,20,3,4,0,0,0,4,0,0,0
78135,이형종,LG,0.264,26,63,53,3,14,3,0,0,17,7,1,3
69159,정우영,LG,-,1,0,0,0,0,0,0,0,0,0,0,0
76650,진해수,LG,-,1,0,0,0,0,0,0,0,0,0,0,0
65241,채원후,LG,-,1,0,0,0,0,0,0,0,0,0,0,0
79192,채은성,LG,0.296,126,526,467,48,138,26,2,12,204,83,0,11
79140,최동환,LG,-,4,0,0,0,0,0,0,0,0,0,0,0
65157,최민창,LG,0.200,4,5,5,1,1,0,0,0,1,0,0,0
62146,최성훈,LG,-,2,0,0,0,0,0,0,0,0,0,0,0
64101,한석현,LG,0.222,6,10,9,1,2,0,0,0,2,0,1,0
63248,함덕주,LG,-,1,0,0,0,0,0,0,0,0,0,0,0
77243,허도환,LG,0.247,64,92,85,7,21,5,0,1,29,6,3,0
52119,허준혁,LG,-,1,0,0,0,0,0,0,0,0,0,0,0
66108,홍창기,LG,0.286,118,525,437,76,125,19,4,1,155,51,5,5
